,ID,LAT,LONG,DATE
Hadley,Hadley,0.34705,36.92393,2018-06-19
Hadley,Hadley,0.34665,36.92324,2018-06-20
Hadley,Hadley,0.34703,36.9235,2018-06-21
Hadley,Hadley,0.34739,36.92377,2018-06-22
Hadley,Hadley,0.34428,36.92222,2018-06-25
Hadley,Hadley,0.34447,36.92123,2018-06-27
Hadley,Hadley,0.34531,36.92119,2018-06-28
Hadley,Hadley,0.34605,36.92115,2018-06-30
Hadley,Hadley,0.356388889,36.98056,2018-07-04
Hadley,Hadley,0.356777778,36.99500,2018-07-06
Hadley,Hadley,0.355500,37.03000,2018-07-10
Hadley,Hadley,0.351527778,37.00861,2018-07-13
Hadley,Hadley,0.351944444,36.98833,2018-07-16
Hadley,Hadley,0.351972222,36.98917,2018-07-17
Hadley,Hadley,0.353833333,36.98667,2018-07-20
Hadley,Hadley,0.355555556,36.92278,2018-07-21
Hadley,Hadley,0.353805556,37.15306,2018-07-22
Hadley,Hadley,0.353805556,37.15306,2018-07-23
Hadley,Hadley,0.34535,36.91334,2018-07-25
Hadley,Hadley,0.34565,36.9133,2018-07-26
Hadley,Hadley,0.34473,36.91384,2018-08-04
Morgan,Morgan,0.358555556,36.91844444,2018-07-10
Morgan,Morgan,0.360972222,36.92125,2018-07-12
Morgan,Morgan,0.356722222,36.92536111,2018-07-16
Morgan,Morgan,0.35675,36.92541667,2018-07-17
Morgan,Morgan,0.352055556,36.92244444,2018-07-20
Morgan,Morgan,0.352694444,36.92238889,2018-07-21
Morgan,Morgan,0.352583333,36.9225,2018-07-22
Morgan,Morgan,0.35011,36.81727,2018-07-23
Morgan,Morgan,0.35398,36.91868,2018-08-01
Morgan,Morgan,0.35287622,36.92536111,2018-08-03
Morgan,Morgan,0.35246931,36.92542667,2018-08-07
Morgan,Morgan,0.35385321,36.92334444,2018-08-08
Quin,Quin,0.408833333,36.86236111,2018-06-29
Quin,Quin,0.402416667,36.86616667,2018-07-05
Quin,Quin,0.403222222,36.86661111,2018-07-06
Quin,Quin,0.405472222,36.86486111,2018-07-09
Quin,Quin,0.401388889,36.86225,2018-07-10
Quin,Quin,0.400305556,36.86208333,2018-07-12
Quin,Quin,0.424944444,36.86158333,2018-07-16
Quin,Quin,0.417638889,36.8621111,2018-07-17
Quin,Quin,0.400611111,36.8605556,2018-07-18
Quin,Quin,0.400166667,36.85961111,2018-07-19
Quin,Quin,0.427055556,36.85925,2018-07-21
Quin,Quin,0.426527778,36.85941667,2018-07-22
Quin,Quin,0.401150,36.857240,2018-07-23
Quin,Quin,0.401620,36.857333,2018-07-24
Quin,Quin,0.401800,36.859440,2018-07-26
Quin,Quin,0.402480,36.850000,2018-07-30
Riley,Riley,0.29819,36.90978,2018-06-29
Riley,Riley,0.29794,36.90922,2018-06-30
Riley,Riley,0.29806,36.90944,2018-07-02
Riley,Riley,0.29675,36.90856,2018-07-03
Riley,Riley,0.29683,36.90861,2018-07-04
Riley,Riley,0.29678,36.90833,2018-07-09
Riley,Riley,0.29681,36.90833,2018-07-12
Riley,Riley,0.29700,36.90778,2018-07-16
Riley,Riley,0.29700,36.90783,2018-07-17
Riley,Riley,0.29719,36.90783,2018-07-18
Riley,Riley,0.29703,36.90786,2018-07-20
Riley,Riley,0.29697,36.90769,2018-07-21
Riley,Riley,0.29694,36.90778,2018-07-22
Riley,Riley,0.29694,36.90778,2018-07-23
Riley,Riley,0.29703,36.90772,2018-07-24
Toni,Toni,0.41808,36.88653,2018-07-12
Toni,Toni,0.41689,36.88458,2018-07-16
Toni,Toni,0.41708,36.88467,2018-07-17
Toni,Toni,0.41694,36.88419,2018-07-18
Toni,Toni,0.41692,36.88433,2018-07-19
Toni,Toni,0.41658,36.88439,2018-07-20
Toni,Toni,0.41550,36.88386,2018-07-21
Toni,Toni,0.41558,36.88406,2018-07-22
Toni,Toni,0.41558,36.88406,2018-07-23
Toni,Toni,0.40914,36.88330,2018-07-24
Toni,Toni,0.40914,36.88300,2018-07-26
Toni,Toni,0.40920,36.88339,2018-07-30
Toni,Toni,0.41019,36.88910,2018-08-02
Alex,Alex,0.348223653,36.92355266,2018-06-13
Alex,Alex,0.347646223,36.92381476,2018-06-14
Alex,Alex,0.348284338,36.923828,2018-06-18
Alex,Alex,0.346976677,36.92385818,2018-06-19
Alex,Alex,0.346987573,36.92386866,2018-06-20
Alex,Alex,0.347013809,36.92386748,2018-06-21
Alex,Alex,0.347083295,36.92378257,2018-06-22
Alex,Alex,0.346649028,36.92208733,2018-06-25
Alex,Alex,0.349346241,36.92256988,2018-06-27
Alex,Alex,0.349165779,36.92262763,2018-06-28
Alex,Alex,0.348366397,36.92133212,2018-06-30
Alex,Alex,0.348057104,36.9210235,2018-07-04
Alex,Alex,0.349598033,36.91758701,2018-07-06
Alex,Alex,0.350721963,36.91804399,2018-07-10
Alex,Alex,0.353751099,36.91918988,2018-07-20
Alex,Alex,0.353033692,36.91879693,2018-07-21
Alex,Alex,0.353032602,36.91879786,2018-07-22
Alex,Alex,0.35174,36.91918,2018-07-25
Alex,Alex,0.35174,36.91918,2018-07-26
